date;SP500;NASDAQ
2023-03-20-14-15;3942.06;12520.82
2023-03-20-14-16;3940.34;12515.50
2023-03-20-14-17;3941.24;12522.08
2023-03-20-14-18;3940.77;12520.38
2023-03-20-14-19;3941.25;12522.23
2023-03-20-14-20;3943.81;12528.74
2023-03-20-14-21;3944.10;12531.39
2023-03-20-14-22;3946.34;12540.20
2023-03-20-14-23;3947.74;12545.03
2023-03-20-14-24;3947.43;12546.02
2023-03-20-14-25;3947.09;12546.88
2023-03-20-14-26;3946.05;12541.33
2023-03-20-14-27;3946.20;12544.02
2023-03-20-14-28;3946.79;12545.38
2023-03-20-14-29;3947.79;12545.55
2023-03-20-14-30;3945.03;12537.99
2023-03-20-14-31;3945.87;12540.56
2023-03-20-14-32;3942.15;12529.86
2023-03-20-14-33;3940.89;12526.95
2023-03-20-14-34;3941.71;12528.69
2023-03-20-14-35;3941.72;12528.20
2023-03-20-14-36;3940.48;12524.95
2023-03-20-14-37;3940.32;12526.00
2023-03-20-14-38;3938.32;12519.14
2023-03-20-14-39;3938.69;12521.49
2023-03-20-14-40;3937.19;12514.72
2023-03-20-14-41;3936.89;12514.24
2023-03-20-14-42;3936.77;12511.91
2023-03-20-14-43;3938.05;12518.36
2023-03-20-14-44;3940.35;12526.34
2023-03-20-14-45;3939.68;12525.36
2023-03-20-14-46;3941.42;12529.87
2023-03-20-14-47;3942.03;12530.62
2023-03-20-14-48;3941.64;12529.52
2023-03-20-14-49;3942.19;12533.44
2023-03-20-14-50;3942.34;12534.66
2023-03-20-14-51;3947.59;12552.00
2023-03-20-14-52;3946.65;12546.82
2023-03-20-14-53;3944.85;12541.17
2023-03-20-14-54;3945.03;12538.94
2023-03-20-14-55;3944.36;12537.10
2023-03-20-14-56;3945.16;12540.64
2023-03-20-14-57;3945.16;12543.26
2023-03-20-14-58;3943.09;12536.74
2023-03-20-14-59;3941.31;12530.83
2023-03-20-15-00;3942.12;12531.63
2023-03-20-15-01;3940.79;12529.20
2023-03-20-15-02;3943.31;12536.82
2023-03-20-15-03;3942.54;12533.86
2023-03-20-15-04;3944.38;12538.18
2023-03-20-15-05;3943.39;12536.78
2023-03-20-15-06;3944.46;12543.69
2023-03-20-15-07;3944.33;12542.65
2023-03-20-15-08;3942.69;12538.12
2023-03-20-15-09;3943.46;12538.21
2023-03-20-15-10;3940.94;12529.07
2023-03-20-15-11;3942.34;12532.10
2023-03-20-15-12;3940.36;12524.49
